country,lon,lat,date,refugees,download_date
Poland,19.4013,52.1224,2022-03-04,756303,2022-03-06
Hungary,19.4131,47.1672,2022-03-04,157004,2022-03-06
Other European countries,12.999541505426,49.284734814307,2022-03-04,133876,2022-03-06
Republic of Moldova,28.4646,47.1976,2022-03-03,103254,2022-03-06
Slovakia,19.4864,48.7062,2022-03-04,101529,2022-03-06
Romania,25.3,45.8667,2022-03-04,63192,2022-03-06
Russian Federation,38.1556078125,51.488850139616,2022-03-03,53300,2022-03-06
Belarus,28.0463,53.5384,2022-03-04,406,2022-03-06
