country,lon,lat,date,refugees,download_date
Poland,19.4013,52.1224,2022-03-15,1830711,2022-03-15
Romania,25.3,45.8667,2022-03-15,459485,2022-03-15
Republic of Moldova,28.4646,47.1976,2022-03-14,337215,2022-03-15
Hungary,19.4131,47.1672,2022-03-15,267570,2022-03-15
Slovakia,19.4864,48.7062,2022-03-14,213000,2022-03-15
Russian Federation,38.1556078125,51.488850139616,2022-03-14,142994,2022-03-15
Belarus,28.0463,53.5384,2022-03-14,1475,2022-03-15
