country,lon,lat,date,refugees,download_date
Poland,19.4013,52.1224,2022-05-08,3217206,2022-05-09
Romania,25.3,45.8667,2022-05-08,880100,2022-05-09
Russian Federation,38.1556078125,51.488850139616,2022-05-06,739418,2022-05-09
Hungary,19.4131,47.1672,2022-05-08,568630,2022-05-09
Republic of Moldova,28.4646,47.1976,2022-05-08,456947,2022-05-09
Slovakia,19.4864,48.7062,2022-05-08,402332,2022-05-09
Belarus,28.0463,53.5384,2022-05-06,26278,2022-05-09
