country,lon,lat,date,refugees,download_date
Poland,19.4013,52.1224,2022-05-04,3119196,2022-05-05
Romania,25.3,45.8667,2022-05-04,854292,2022-05-05
Russian Federation,38.1556078125,51.488850139616,2022-05-04,714713,2022-05-05
Hungary,19.4131,47.1672,2022-05-04,545311,2022-05-05
Republic of Moldova,28.4646,47.1976,2022-05-04,450797,2022-05-05
Slovakia,19.4864,48.7062,2022-05-04,388282,2022-05-05
Belarus,28.0463,53.5384,2022-05-03,25852,2022-05-05
