country,lon,lat,date,refugees,download_date
Poland,19.4013,52.1224,2022-03-08,1412503,2022-03-10
Other European countries,12.999541505426,49.284734814307,2022-03-09,258844,2022-03-10
Hungary,19.4131,47.1672,2022-03-08,214160,2022-03-10
Slovakia,19.4864,48.7062,2022-03-09,165199,2022-03-10
Russian Federation,38.1556078125,51.488850139616,2022-03-09,97098,2022-03-10
Romania,25.3,45.8667,2022-03-08,84671,2022-03-10
Republic of Moldova,28.4646,47.1976,2022-03-06,82762,2022-03-10
Belarus,28.0463,53.5384,2022-03-09,765,2022-03-10
