country,lon,lat,date,refugees,download_date
Poland,19.4013,52.1224,2022-03-26,2267103,2022-03-27
Romania,25.3,45.8667,2022-03-26,586942,2022-03-27
Republic of Moldova,28.4646,47.1976,2022-03-26,381395,2022-03-27
Hungary,19.4131,47.1672,2022-03-26,349107,2022-03-27
Slovakia,19.4864,48.7062,2022-03-26,272012,2022-03-27
Russian Federation,38.1556078125,51.488850139616,2022-03-22,271254,2022-03-27
Belarus,28.0463,53.5384,2022-03-24,6341,2022-03-27
