country,lon,lat,date,refugees,download_date
Poland,19.4013,52.1224,2022-03-12,1655503,2022-03-13
Other European countries,12.999541505426,49.284734814307,2022-03-11,304156,2022-03-13
Hungary,19.4131,47.1672,2022-03-12,246206,2022-03-13
Slovakia,19.4864,48.7062,2022-03-12,195980,2022-03-13
Russian Federation,38.1556078125,51.488850139616,2022-03-10,105897,2022-03-13
Republic of Moldova,28.4646,47.1976,2022-03-10,104929,2022-03-13
Romania,25.3,45.8667,2022-03-08,84671,2022-03-13
Belarus,28.0463,53.5384,2022-03-11,938,2022-03-13
