country,lon,lat,date,refugees,download_date
Poland,19.4013,52.1224,2022-04-08,2564994,2022-04-09
Romania,25.3,45.8667,2022-04-08,678081,2022-04-09
Hungary,19.4131,47.1672,2022-04-08,413888,2022-04-09
Republic of Moldova,28.4646,47.1976,2022-04-08,406611,2022-04-09
Russian Federation,38.1556078125,51.488850139616,2022-04-08,389845,2022-04-09
Slovakia,19.4864,48.7062,2022-04-08,310989,2022-04-09
Belarus,28.0463,53.5384,2022-04-07,19096,2022-04-09
