country,lon,lat,date,refugees,download_date
Poland,19.4013,52.1224,2022-03-13,1720227,2022-03-14
Other European countries,12.999541505426,49.284734814307,2022-03-11,304156,2022-03-14
Hungary,19.4131,47.1672,2022-03-13,255291,2022-03-14
Slovakia,19.4864,48.7062,2022-03-13,204862,2022-03-14
Russian Federation,38.1556078125,51.488850139616,2022-03-13,131365,2022-03-14
Republic of Moldova,28.4646,47.1976,2022-03-13,106994,2022-03-14
Romania,25.3,45.8667,2022-03-08,84671,2022-03-14
Belarus,28.0463,53.5384,2022-03-13,1226,2022-03-14
