country,lon,lat,date,refugees,download_date
Poland,19.4013,52.1224,2022-03-27,2293833,2022-03-28
Romania,25.3,45.8667,2022-03-27,595868,2022-03-28
Republic of Moldova,28.4646,47.1976,2022-03-27,383627,2022-03-28
Hungary,19.4131,47.1672,2022-03-27,354041,2022-03-28
Slovakia,19.4864,48.7062,2022-03-27,275439,2022-03-28
Russian Federation,38.1556078125,51.488850139616,2022-03-22,271254,2022-03-28
Belarus,28.0463,53.5384,2022-03-27,9075,2022-03-28
