country,lon,lat,date,refugees,download_date
Poland,19.4013,52.1224,2022-04-13,2694090,2022-04-15
Romania,25.3,45.8667,2022-04-13,716797,2022-04-15
Russian Federation,38.1556078125,51.488850139616,2022-04-13,471014,2022-04-15
Hungary,19.4131,47.1672,2022-04-13,440387,2022-04-15
Republic of Moldova,28.4646,47.1976,2022-04-13,417650,2022-04-15
Slovakia,19.4864,48.7062,2022-04-13,326244,2022-04-15
Belarus,28.0463,53.5384,2022-04-13,22428,2022-04-15
