country,lon,lat,date,refugees,download_date
Poland,19.4013,52.1224,2022-03-29,2336799,2022-03-30
Romania,25.3,45.8667,2022-03-29,608936,2022-03-30
Republic of Moldova,28.4646,47.1976,2022-03-29,387151,2022-03-30
Hungary,19.4131,47.1672,2022-03-29,364804,2022-03-30
Russian Federation,38.1556078125,51.488850139616,2022-03-29,350632,2022-03-30
Slovakia,19.4864,48.7062,2022-03-29,281172,2022-03-30
Belarus,28.0463,53.5384,2022-03-29,10902,2022-03-30
