id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45730276,Room and Breakfast - Domus Duorum - Porto,254298151,Isabel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16104,-8.63294,Private room,56,3,9,2022-10-30,0.29,4,126,0,94857/AL
3035176,S. Bento I - Studio with terrace,2891070,Stay In,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14557,-8.61181,Entire home/apt,131,1,26,2023-10-21,0.22,2,300,2,
53698441,Studio kitchenette com vista para a zona histórica,432433454,Sandra,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14249,-8.61173,Entire home/apt,151,1,2,2022-01-03,0.07,7,334,0,64308/AL
753396504934880214,The Space Shuttle Discovery by UpperGround,101542522,Upperground,PORTO,Bonfim,41.1454225,-8.598299899999999,Entire home/apt,42,2,79,2024-03-01,5.16,40,316,67,48760/AL
669262962370111632,APOSENTUS - CS TRINDADE APARTMENTS 3,179432438,Aposentus,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1513765,-8.608483099999999,Entire home/apt,46,2,54,2024-02-04,2.68,52,322,34,129126/AL
1086751392791786100,Enjoy Porto Downtown,318443547,LiAna,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15549388166086,-8.61627215152267,Private room,26,1,0,,,1,341,0,Exempt
21027280,VILLELAY CASA 5,132691735,Júlia Moreira,VILA NOVA DE GAIA,Canidelo,41.13136,-8.6513,Entire home/apt,50,1,29,2023-09-11,0.41,6,295,6,62939/AL
49508708,Oporto Classic Terrace,308720337,Carlos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15092,-8.61479,Entire home/apt,120,2,19,2022-10-17,0.59,3,316,0,115607/AL
13262933,Apartamento Qian Rio Douro PORTO,74465992,Wei,PORTO,Lordelo do Ouro e Massarelos,41.15247,-8.64688,Entire home/apt,110,2,103,2020-02-23,1.09,6,355,0,49371/AL
963063285830810182,Cama em Dormitório de 8 Pessoas,532229095,Porto Hostel,PORTO,Bonfim,41.1465568,-8.595140899999999,Shared room,21,1,0,,,21,273,0,147982/AL
2444887,O'Porto Main Street St Catarina 1,2812007,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14957,-8.60506,Entire home/apt,67,2,425,2024-01-02,3.49,6,86,41,33469/AL
