stop_id,stop_code,stop_name,stop_lat,stop_lon
116224,1001,RUA JÚLIO DINIS,41.36536018709721,-8.195176636708887
116225,1002,RUA D. GONÇALO DE SOUSA,41.362816734239125,-8.196362679640748
116226,1003,RUA D. AFONSO HENRIQUES,41.370910380314626,-8.20410776954532
116227,1004,RUA D. AFONSO HENRIQUES,41.37489166329865,-8.211604317604335
116228,1005,N101-3,41.37244998460348,-8.214679988327267
116229,1006,N101-3,41.368934815833384,-8.2173668804305
116230,1007,N101-3,41.36886998460553,-8.220739988325006
116231,1008,N101-3,41.37042998480925,-8.22651884496747
116232,1009,N101-3,41.37038201666537,-8.22980867351013
116233,1010,N101-3,41.373119984598496,-8.232439988311855
116234,1011,N101-3,41.37874731081883,-8.231279074597834
116235,1012,N101-3,41.38139998458945,-8.235909988302419
116236,1013,N101-3,41.381211775157,-8.240228881928507
116237,1014,N101-3,41.38106650086869,-8.246344671171727
116238,1015,N101-3,41.37997998458804,-8.24748998829382
116239,1016,N101-3,41.37755998458911,-8.25292998829116
116240,1017,N101-3,41.37562746603261,-8.256813421980844
116241,1018,N101-3,41.37058449014323,-8.260661612360101
116242,1019,N101-3,41.368955809491766,-8.26386351400909
116243,1020,N101-3,41.367726666952024,-8.26792709174437
116244,1021,N101-3,41.36587998459597,-8.272079988284302
116245,1022,N101-3,41.36781998459221,-8.279629988276426
116246,1023,RUA DE FELGUEIRAS,41.36447998459458,-8.283459988275848
116247,1024,RUA DE FELGUEIRAS,41.36071998459737,-8.287149988275717
116248,1025,RUA DE PRADOS,41.3565599846012,-8.28832998827801
116249,1026,N207-1,41.35838351132437,-8.2934764957177
116250,1027,N207-1,41.3618099845936,-8.298219988265556
116251,1028,N207-1,41.36292998459141,-8.302639988260955
116252,1029,RUA ELISA TORRES SOARES,41.36566354458836,-8.308122933398275
116253,1030,N106,41.368585054376794,-8.307194581221014
116254,1031,RUA DR. ABÍLIO TORRES,41.37379369659445,-8.30808417112736
116255,1032,RUA SÁ E MELO,41.377099984575196,-8.311749988242088
116256,1033,RUA DR. ABÍLIO TORRES,41.37922998457276,-8.313119988239247
116257,1034,RUA DAS TEIXUGUEIRAS,41.38288495202134,-8.315416961015286
116258,1035,N106,41.388258621160524,-8.317175995120719
116259,1036,RUA N106,41.39066703967189,-8.317945492027484
116260,1037,RUA N106,41.39438998455651,-8.31836998822283
116261,1038,N106,41.39675678846433,-8.319272623389041
116262,1039,N105,41.39845555343999,-8.324356396413412
116263,1040,RUA VIRGÍNIA MOURA,41.39382182042562,-8.33005473138551
116264,1041,RUA VIRGÍNIA MOURA,41.3912499845558,-8.333969988212177
116265,1042,N105,41.38793806824061,-8.339037618182214
116266,1043,RUA NOSSA SRA. DA AJUDA,41.38662982465499,-8.34324573409213
116267,1044,RUA NOSSA SRA. DA AJUDA,41.38325998456036,-8.347539988207071
116268,1045,N105,41.379189984563396,-8.351659988206825
116269,1046,N105,41.377276411249284,-8.353043418718965
116270,1047,RUA NOSSA SRA. DA AJUDA,41.37401025882891,-8.358016953829582
116271,1048,N105,41.37228998456821,-8.359729988205489
116272,1049,N105,41.37287583373747,-8.363947064289968
116273,1050,N105,41.37262364713442,-8.369119220258606
116274,1051,N105,41.3708399845652,-8.377849988191356
116275,1052,N105,41.36938998456568,-8.381609988189336
116276,1053,N105,41.36729608332907,-8.388965744306699
116277,1054,N105,41.36600346755,-8.391829026252688
116278,1055,PONTE NOVA,41.36360947876539,-8.397062224784163
116279,1056,N105,41.36101998456935,-8.40044998818008
116280,1057,AVENIDA DA INDÚSTRIA DE TÊXTIL,41.357999481653195,-8.402327097412167
116281,1058,N105,41.354899984573464,-8.408309988178306
116282,1059,N105,41.35528231503579,-8.411724507196501
116283,1060,AVENIDA S. TIAGO,41.355901624108604,-8.417659892365132
116284,1061,AVENIDA S. TIAGO,41.35520998456962,-8.422709988165902
116285,1062,AVENIDA S. TIAGO,41.35534111611744,-8.426911031887874
116286,1063,AVENIDA AMÉRICO TEIXEIRA,41.356654740553694,-8.431304943674661
116287,1064,AVENIDA AMÉRICO TEIXEIRA,41.35748927054433,-8.434406101921995
116288,1065,AVENIDA AMÉRICO TEIXEIRA,41.35827998456282,-8.438099988150459
116289,1066,AVENIDA DA BOAVISTA,41.35834863356063,-8.440027008451832
116290,1067,AVENIDA DA BOAVISTA,41.35758234337938,-8.44447061076388
116291,1068,AVENIDA DE FREITAS,41.355517125926305,-8.447792595023635
116292,1069,AVENIDA DE FREITAS,41.353499105713496,-8.449573782317405
116293,1070,N105,41.35052205458568,-8.453233621179205
116294,1071,N105,41.34832493162048,-8.458688578046843
116295,1072,N105,41.34434998457003,-8.46458998813914
116296,1073,AVENIDA UNISCO GODINIZ,41.34401630340145,-8.47214668303182
116297,1074,AVENIDA SOEIRO MENDES DA MAIA,41.345871630947514,-8.473111428244211
116298,1075,RUA PROF. DOUTOR FERNANDO A. PIRES,41.34703067787059,-8.476802359823305
116299,1076,RUA JOSÉ BENTO CORREIA,41.34438822328887,-8.48020403433865
116300,1077,RUA D. MARIA DO CARMO AZEVEDO,41.342609984567744,-8.480869988126752
116301,1078,RUA DA MISERICÓRDIA,41.34140998456838,-8.483079988125839
116302,1079,RUA COMENDADOR ANTÓNIO MARIA LOPES,41.33960069042844,-8.481475645385723
116303,1080,SANTO TIRSO (CENTRAL DE CAMIONAGEM),41.337999991841535,-8.47806514307602
116304,1081,RUA DAS RÃS,41.33401989127331,-8.478824738218028
116305,1082,RUA DAS RÃS,41.329634263731286,-8.477768355898219
