date, value
2013-04-17,96.8400
2013-04-18,97.4800
2013-04-19,98.9400
2013-04-22,99.0700
2013-04-23,99.2500
2013-04-24,100.7100
2013-04-25,101.6200
2013-04-26,102.3900
2013-04-29,102.8800
2013-04-30,101.5300
2013-05-01,98.3400
2013-05-02,100.3200
2013-05-03,104.6000
2013-05-06,105.0000
2013-05-07,105.1800
2013-05-08,103.7900
2013-05-09,103.5900
2013-05-10,101.3100
2013-05-13,102.1700
2013-05-14,102.7000
2013-05-15,101.5700
2013-05-16,104.2700
2013-05-17,103.8300
2013-05-20,104.5500
2013-05-21,103.1000
2013-05-22,102.1400
2013-05-23,100.4600
2013-05-24,101.2400
2013-05-28,103.7700
2013-05-29,102.1400
2013-05-30,101.7900
2013-05-31,100.4300
2013-06-03,101.6300
2013-06-04,102.0400
2013-06-05,103.5100
2013-06-06,103.3700
2013-06-07,104.0700
2013-06-10,103.8700
2013-06-11,101.5000
2013-06-12,103.1100
2013-06-13,103.3800
2013-06-14,105.1000
2013-06-17,105.8000
2013-06-18,105.2100
2013-06-19,105.5600
2013-06-20,102.7200
2013-06-21,100.3600
2013-06-24,99.8000
2013-06-25,101.5100
2013-06-26,100.6200
2013-06-27,102.7400
2013-06-28,102.4900
2013-07-01,103.1900
2013-07-02,103.9600
2013-07-03,106.1200
2013-07-05,107.4600
2013-07-08,107.7500
2013-07-09,107.9000
2013-07-10,108.4300
2013-07-11,108.1800
2013-07-12,109.0300
2013-07-15,109.0500
2013-07-16,109.2900
2013-07-17,109.6700
2013-07-18,109.7100
2013-07-19,109.3400
2013-07-22,108.8200
2013-07-23,109.2700
2013-07-24,108.2300
2013-07-25,108.1000
2013-07-26,107.5700
2013-07-29,108.1000
2013-07-30,107.4700
2013-07-31,107.8900
2013-08-01,109.9400
2013-08-02,109.6300
2013-08-05,109.8100
2013-08-06,108.7700
2013-08-07,108.3900
2013-08-08,107.3200
2013-08-09,108.4900
2013-08-12,109.2800
2013-08-13,110.6900
2013-08-14,110.2600
2013-08-15,111.5800
2013-08-16,111.8200
2013-08-19,111.4100
2013-08-20,110.7400
2013-08-21,110.8200
2013-08-22,110.5100
2013-08-23,112.1200
2013-08-26,112.2300
2013-08-27,115.2100
2013-08-28,116.2700
2013-08-29,116.9100
2013-08-30,115.9700
2013-09-03,115.4900
2013-09-04,115.6500
2013-09-05,115.8100
2013-09-06,117.1500
2013-09-09,115.2000
2013-09-10,112.1000
2013-09-11,112.3700
2013-09-12,113.1100
2013-09-13,113.3100
2013-09-16,110.8600
2013-09-17,109.0500
2013-09-18,109.0900
2013-09-19,110.6600
2013-09-20,110.2200
2013-09-23,108.5600
2013-09-24,107.6800
2013-09-25,109.4600
2013-09-26,108.8600
2013-09-27,109.4500
2013-09-30,107.8500
2013-10-01,107.3200
2013-10-02,109.0900
2013-10-03,109.4900
2013-10-04,109.4200
2013-10-07,109.6600
2013-10-08,110.5600
2013-10-09,109.0200
2013-10-10,111.6300
2013-10-11,110.6500
2013-10-14,110.1300
2013-10-15,110.6700
2013-10-16,110.7900
2013-10-17,109.5500
2013-10-18,109.4000
2013-10-21,109.4700
2013-10-22,109.5700
2013-10-23,107.7400
2013-10-24,106.6300
2013-10-25,105.7000
2013-10-28,108.2900
2013-10-29,108.0400
2013-10-30,108.4100
2013-10-31,107.5300
2013-11-01,105.7800
2013-11-04,104.8500
2013-11-05,105.0100
2013-11-06,105.4600
2013-11-07,103.0800
2013-11-08,104.2900
2013-11-11,105.7600
2013-11-12,106.2900
2013-11-13,106.9000
2013-11-14,108.2900
2013-11-15,108.2500
2013-11-18,108.8000
2013-11-19,108.2900
2013-11-20,108.2700
2013-11-21,109.9000
2013-11-22,111.3600
2013-11-25,110.8300
2013-11-26,112.0400
2013-11-27,111.3200
2013-11-29,111.0700
2013-12-02,111.4900
2013-12-03,113.0600
2013-12-04,113.2700
2013-12-05,112.0700
2013-12-06,111.5000
2013-12-09,110.0700
2013-12-10,108.9100
2013-12-11,109.4700
2013-12-12,108.9900
2013-12-13,108.0800
2013-12-16,110.3000
2013-12-17,108.9100
2013-12-18,109.5600
2013-12-19,110.7800
2013-12-20,112.1500
2013-12-23,111.5800
2013-12-24,111.5700
2013-12-26,111.6500
2013-12-27,112.0600
2013-12-30,110.4700
2013-12-31,109.9500
2014-01-02,107.9400
2014-01-03,106.5700
2014-01-06,106.7100
2014-01-07,107.0100
2014-01-08,107.4200
2014-01-09,107.4900
2014-01-10,106.4400
2014-01-13,108.0200
2014-01-14,107.1200
2014-01-15,108.0900
2014-01-16,107.4600
2014-01-17,108.4500
2014-01-20,108.0100
2014-01-21,109.1700
2014-01-22,109.6900
2014-01-23,109.6900
2014-01-24,109.1400
2014-01-27,108.7200
2014-01-28,109.1000
2014-01-29,108.8300
2014-01-30,109.3600
2014-01-31,108.1600
2014-02-03,106.5500
2014-02-04,107.0400
2014-02-05,106.8100
2014-02-06,108.1500
2014-02-07,110.1200
2014-02-10,110.1800
2014-02-11,109.2100
