"Year","Category","Nominee(s)","Nominator(s)"
"1959","Physics","Albrecht Otto Johannes Unsöld","G Burkhardt"
"1959","Physics","Vladimir Iosifovich Veksler","Pavel Alekseyevich Cherenkov [Čerenkov]"
"1959","Physics","Eugene Wigner","W Opechowski"
"1959","Physics","Yevgeny Konstantinovich Zavoisky","Leopold Ruzicka"
"1959","Physics","Clyde Lorrain Cowan, Jr
 Frederick Reines","Einar Lindholm"
"1959","Physics","Clyde Lorrain Cowan, Jr
 Frederick Reines","H Staub"
"1959","Physics","Otto Robert Frisch
 Lise Meitner","Joseph Rotblat"
"1959","Physics","Walter Hans Schottky
 Carl Wilhelm Wagner","R Vieweg"
"1959","Physics","Jabez Curry Street
 Bruno Benedetto Rossi","Kenneth Tompkins Bainbridge"
"1959","Physics","Norbert Wiener
 Claude Shannon","Gopalasamudram Narayanan Ramachandran"
"1959","Physics","Giuseppe Paolo Stanislao Occhialini
 George Dixon Rochester
 Clifford Butler","Patrick Maynard Stuart Blackett (Baron Blackett)"
"1959","Physics","Owen Chamberlain
 Emilio Gino Segrè","Edwin Mattison McMillan"
"1959","Physics","Owen Chamberlain
 Emilio Gino Segrè","W Powell"
"1959","Physics","Owen Chamberlain
 Emilio Gino Segrè","W Nierenberg"
"1959","Physics","Owen Chamberlain
 Emilio Gino Segrè","Charles Kittel"
"1959","Physics","Owen Chamberlain
 Emilio Gino Segrè","Leonard Loeb"
"1959","Physics","Emilio Gino Segrè
 Robert Hofstadter","P Endt"
"1959","Physics","Dorothy Crowfoot Hodgkin
 Frederick Charles Frank","John Desmond Bernal"
"1959","Physics","Erwin Wilhelm Müller
 Frank Bowden","Leonard Loeb"
"1959","Physics","Louis Néel
 André Lallemand","Prince Louis-Victor de Broglie"
"1959","Physics","Vladimir Iosifovich Veksler
 Yevgeny Konstantinovich Zavoisky","Ilya Frank"
"1959","Physics","Maria Goeppert-Mayer
 Johannes Hans Daniel Jensen","Karl Johann Freudenberg"
"1959","Physics","Johannes Hans Daniel Jensen
 Maria Goeppert-Mayer
 Pyotr Leonidovich Kapitsa
 Cornelis Jacobus Gorter","Max Born"
"1959","Physics","Chien-Shiung Wu
 Leon Max Lederman
 Robert Hofstadter
 Emilio Gino Segrè
 Owen Chamberlain
 Charles Hard Townes","J Rossel"
"1960","Physics","Hans Albrecht Bethe","Willis Eugene Lamb, Jr"
"1960","Physics","Nikolai Nikolaevic Bogoljubov","I Artobolevskij"
"1960","Physics","Nikolai Nikolaevic Bogoljubov","Viktor Amazaspovich Ambartsumian"
"1960","Physics","Léon Brillouin","J Destouches"
"1960","Physics","Klaus Clusius","Otto Hahn"
"1960","Physics","Martin Deutsch","J Zacharias"
"1960","Physics","Martin Deutsch","Victor Frederick Weisskopf"
"1960","Physics","Martin Deutsch","Nathaniel Frank"
"1960","Physics","Martin Deutsch","Francis Bitter"
"1960","Physics","Martin Deutsch","Albert Hill"
"1960","Physics","Donald Glaser","W Fry"
"1960","Physics","Donald Glaser","Henry Herman Barschall"
"1960","Physics","Donald Glaser","Owen Chamberlain"
"1960","Physics","Donald Glaser","C Franzinetti"
"1960","Physics","Donald Glaser","S Szczeniowski"
"1960","Physics","Donald Glaser","Willibald Jentschke"
"1960","Physics","Donald Glaser","N Neuert"
"1960","Physics","Donald Glaser","Louis Leprince-Ringuet"
"1960","Physics","Dorothy Crowfoot Hodgkin","H Lipson"
"1960","Physics","Robert Hofstadter","Werner Braunbeck"
"1960","Physics","Robert Hofstadter","H Krüger"
"1960","Physics","Robert Hofstadter","Lamek Hulthén"
"1960","Physics","Robert Hofstadter","B Darling"
"1960","Physics","Hendrik Christoffel van de Hulst","Alexandre Dauvillier"
"1960","Physics","Alfred Kastler","Pierre Auger"
"1960","Physics","Alfred Kastler","Adriano Gozzini"
"1960","Physics","Alfred Kastler","Pierre Jacquinot"
"1960","Physics","Alfred Kastler","Maurice Françon"
"1960","Physics","André Lallemand","Prince Louis-Victor de Broglie"
"1960","Physics","Lev Davidovich Landau","Werner Karl Heisenberg"
"1960","Physics","Louis Leprince-Ringuet","Jean Laval"
"1960","Physics","Willard Frank Libby","A Ångström"
"1960","Physics","Willard Frank Libby","B Kullenberg"
"1960","Physics","Willard Frank Libby","H Pettersson"
"1960","Physics","Sir Nevill Francis Mott","W Laniecki"
"1960","Physics","Erwin Wilhelm Müller","Gottfried Möllenstedt"
"1960","Physics","Louis Néel","M Cotte"
"1960","Physics","Louis Néel","L Massignon"
"1960","Physics","Louis Néel","Marie-Antoinette Tonnelat"
"1960","Physics","Louis Néel","André Maréchal"
"1960","Physics","Jan Hendrik Oort","Otto Struve"
"1960","Physics","James Van Allen","L Berkner"
"1960","Physics","James Van Allen","Clifford Shull"
"1960","Physics","James Van Allen","E Vassy"
"1960","Physics","Eugene Wigner","Bruno Benedetto Rossi"
"1960","Physics","Yevgeny Konstantinovich Zavoisky","Cornelis Jacobus Gorter"
"1960","Physics","Anatole Abragam
 Albert Overhauser","Francis Perrin"
"1960","Physics","Jean Brossel
 Alfred Kastler","A Arnulf"
"1960","Physics","Clyde Lorrain Cowan, Jr
 Frederick Reines","Einar Lindholm"
"1960","Physics","Donald Glaser
 Luis Walter Alvarez","Glenn Theodore Seaborg"
"1960","Physics","Johannes Hans Daniel Jensen
 Maria Goeppert-Mayer","B Flowers"
"1960","Physics","Johannes Hans Daniel Jensen
 Maria Goeppert-Mayer","Emilio Gino Segrè"
"1960","Physics","Johannes Hans Daniel Jensen
 Maria Goeppert-Mayer","Harold Clayton Urey"
"1960","Physics","Johannes Hans Daniel Jensen
 Maria Goeppert-Mayer","Karl Johann Freudenberg"
"1960","Physics","Pyotr Leonidovich Kapitsa
 Lev Davidovich Landau","Niels Bohr"
"1960","Physics","Jan Hendrik Oort
 Hendrik Christoffel van de Hulst","Hendrik Kramers"
"1960","Physics","Jan Hendrik Oort
 Hendrik Christoffel van de Hulst","J Westerdijk"
"1960","Physics","Jan Hendrik Oort
 Hendrik Christoffel van de Hulst","L.J. Broer"
"1960","Physics","Jan Hendrik Oort
 Hendrik Christoffel van de Hulst","B Blaisse"
"1960","Physics","Jan Hendrik Oort
 Hendrik Christoffel van de Hulst","Ralph Kronig"
"1960","Physics","Jan Hendrik Oort
 Hendrik Christoffel van de Hulst","A C S van Heel"
"1960","Physics","Jan Hendrik Oort
 Hendrik Christoffel van de Hulst","J Le Poole"
"1960","Physics","Jan Hendrik Oort
 Hendrik Christoffel van de Hulst","Pieter (Pim) Maarten de Wolff"
"1960","Physics","Jan Hendrik Oort
 Hendrik Christoffel van de Hulst","Aaldert Hendrik Wapstra"
"1960","Physics","Louis Néel
 Erwin Wilhelm Müller","A Guinier"
"1960","Physics","Ernst August Friedrich Ruska
 Erwin Wilhelm Müller","Heinz Artur Raether"
"1960","Physics","Abraham Pais
 Murray Gell-Mann","Jerzy Pniewski"
"1960","Physics","Murray Gell-Mann
 Kazuhiko Nishijima 
 Abraham Pais","Marian Günther"
"1960","Physics","Richard Phillips Feynman
 Julian Schwinger","Philip McCord Morse"
"1960","Physics","Richard Phillips Feynman
 Julian Schwinger","Francis Eugene Low"
"1960","Physics","Richard Phillips Feynman
 Julian Schwinger","Herman Feshbach"
"1960","Physics","Richard Phillips Feynman
 Julian Schwinger","Bernard Taub Feld"
"1960","Physics","Julian Schwinger
 Richard Phillips Feynman
 Sin-Itiro Tomonaga","Norman Foster Ramsey"
"1960","Physics","Hannes Alfvén
 Bengt Edlén
 Hans Albrecht Bethe","J Mack"
"1960","Physics","Max Ferdinand Perutz
 John Cowdery Kendrew
 Dorothy Crowfoot Hodgkin","Sir William Lawrence Bragg"
"1960","Physics","Max Ferdinand Perutz
 John Cowdery Kendrew
 Dorothy Crowfoot Hodgkin","Sir Cyril Norman Hinshelwood"
"1960","Physics","Charles Hard Townes
 Nicolay Gennadijevitj Basov
 Aleksandr Mikhailovich Prokhorov [Prockorov]","Erik Paul Gerhard Ingelstam"
"1960","Physics","Lev Davidovich Landau
 Nikolai Nikolaevic Bogoljubov
 Hannes Alfvén","Michał Lunc"
"1960","Physics","Charles Hard Townes
 Nicolay Gennadijevitj Basov
 Aleksandr Mikhailovich Prokhorov [Prockorov]
 Nicolaas Bloembergen
 Louis Néel","Alfred Kastler"
"1960","Physics","Eugene Wigner
 Richard Phillips Feynman
 Julian Schwinger
 Martin Deutsch
 Maurice Goldhaber
 Chien-Shiung Wu
 Bruno Benedetto Rossi
 James Van Allen","David Henry Frisch"
"1961","Physics","Hannes Alfvén","Njål Hole"
"1961","Physics","Sydney Chapman","Harrie Stewart Wilson Massey"
"1961","Physics","Louis Gray","H Johns"
"1961","Physics","Walter Heinrich Heitler","Max Born"
"1961","Physics","Robert Hofstadter","Felix Bloch"
"1961","Physics","Robert Hofstadter","Lamek Hulthén"
"1961","Physics","Robert Hofstadter","T Neugebauer"
"1961","Physics","Johannes Hans Daniel Jensen","Karl Johann Freudenberg"
"1961","Physics","André Lallemand","Prince Louis-Victor de Broglie"
"1961","Physics","André Lallemand","Etienne Wolff"
"1961","Physics","Rudolf Ludwig Mössbauer","Carl Anderson"
"1961","Physics","Rudolf Ludwig Mössbauer","H Frauenfelder"
"1961","Physics","Rudolf Ludwig Mössbauer","Werner Karl Heisenberg"
"1961","Physics","Rudolf Ludwig Mössbauer","Väinö Hovi"
"1961","Physics","Rudolf Ludwig Mössbauer","Erik Paul Gerhard Ingelstam"
"1961","Physics","Rudolf Ludwig Mössbauer","Giuseppe Paolo Stanislao Occhialini"
"1961","Physics","Rudolf Ludwig Mössbauer","Leopold Ruzicka"
"1961","Physics","Rudolf Ludwig Mössbauer","Emilio Gino Segrè"
"1961","Physics","Rudolf Ludwig Mössbauer","Otto Stern"
"1961","Physics","Rudolf Ludwig Mössbauer","W Walcher"
"1961","Physics","Rudolf Ludwig Mössbauer","H Wolter"
"1961","Physics","Louis Néel","M Blackman"
"1961","Physics","Louis Néel","G Déjardin"
"1961","Physics","Lars Onsager","C Domb"
"1961","Physics","Lars Onsager","Günther Leibfried"
"1961","Physics","Lars Onsager","Friedrich Schlögl"
"1961","Physics","Lars Onsager","Josef Meixner"
"1961","Physics","Sir Geoffrey Ingram Taylor","Sir Cyril Norman Hinshelwood"
"1961","Physics","Sir Geoffrey Ingram Taylor","John Douglas Cockcroft"
"1961","Physics","Charles Hard Townes","Sir Gordon Brims Black Sutherland"
"1961","Physics","Charles Hard Townes","Harry Lambert Welsh"
"1961","Physics","James Van Allen","J Jauch"
"1961","Physics","James Van Allen","L Langer"
"1961","Physics","Eugene Wigner","A.M. Michels"
"1961","Physics","Yevgeny Konstantinovich Zavoisky","Cornelis Jacobus Gorter"
"1961","Physics","Aage Niels Bohr
 Ben Roy Mottelson","R Wilkinson"
"1961","Physics","Aage Niels Bohr
 Ben Roy Mottelson","A.C. Mitchell"
"1961","Physics","Clyde Lorrain Cowan, Jr
 Frederick Reines","Arthur Compton"
"1961","Physics","Clyde Lorrain Cowan, Jr
 Frederick Reines","Einar Lindholm"
"1961","Physics","Clyde Lorrain Cowan, Jr
 Frederick Reines","H Staub"
"1961","Physics","Max Ferdinand Perutz
 John Cowdery Kendrew
 Dorothy Crowfoot Hodgkin","Sir William Lawrence Bragg"
"1961","Physics","Frederick Charles Frank
 Dorothy Crowfoot Hodgkin","John Desmond Bernal"
"1961","Physics","Otto Robert Frisch
 Lise Meitner","Joseph Rotblat"
"1961","Physics","Louis Néel
 John Hasbrouck Van Vleck","Gerhart Wolfgang Rathenau"
"1961","Physics","Alfred Kastler
 Charles Hard Townes","R Freymann"
"1961","Physics","Bruno Benedetto Rossi
 Giuseppe Paolo Stanislao Occhialini","F Houtermans"
"1961","Physics","Giuseppe Paolo Stanislao Occhialini
 George Dixon Rochester
 Clifford Butler
 Rudolf Ludwig Mössbauer","Patrick Maynard Stuart Blackett (Baron Blackett)"
"1961","Physics","Hendrik Christoffel van de Hulst
 Jan Hendrik Oort
 Christiaan Alexander (Lex) Muller","Yngve Öhman"
"1961","Physics","Hendrik Christoffel van de Hulst
 Jan Hendrik Oort
 Christiaan Alexander (Lex) Muller","B Lindblad"
"1961","Physics","Ernst August Friedrich Ruska
 Max Knoll
 Ladislaus Laszlo Marton","Dennis Gabor"
"1961","Physics","Sir Geoffrey Ingram Taylor
 Egon Orowan
 Michael Polanyi","F Fumi"
"1961","Physics","Frederick Seitz
 Sir Nevill Francis Mott
 Rudolf Ludwig Mössbauer","Kurt Lücke"
"1962","Physics","Hannes Alfvén","G Cocconi"
"1962","Physics","Luis Walter Alvarez","Glenn Theodore Seaborg"
"1962","Physics","Luis Walter Alvarez","Henryk Niewodniczanski"
"1962","Physics","Nikolay Vasilyevich Belov","A Subnikov"
"1962","Physics","Hans Albrecht Bethe","J Levinger"
"1962","Physics","Hans Albrecht Bethe","Ph. Morrison"
"1962","Physics","Hans Albrecht Bethe","E Salpeter"
"1962","Physics","Hans Albrecht Bethe","K Greisen"
"1962","Physics","Hans Albrecht Bethe","W Woodward"
"1962","Physics","Hans Albrecht Bethe","A Silverman"
"1962","Physics","Hans Albrecht Bethe","B McDaniel"
"1962","Physics","Hans Albrecht Bethe","P Hartman"
"1962","Physics","Hans Albrecht Bethe","J DeWire"
"1962","Physics","Satyendra Nath Bose","S Bagchi"
"1962","Physics","Klaus Clusius","Otto Hahn"
"1962","Physics","Marian Danysz","J Rayski"
"1962","Physics","Georges Destriau","Alexandre Dauvillier"
"1962","Physics","Richard Phillips Feynman","R Christy"
"1962","Physics","Richard Phillips Feynman","E Cowan"
"1962","Physics","Richard Phillips Feynman","Matthew Linzee Sands"
"1962","Physics","Richard Phillips Feynman","R Walker"
"1962","Physics","Richard Phillips Feynman","Louis Leprince-Ringuet"
"1962","Physics","Maurice Goldhaber","Otto Struve"
"1962","Physics","Walter Heinrich Heitler","Max Born"
"1962","Physics","Johannes Hans Daniel Jensen","Karl Johann Freudenberg"
"1962","Physics","Alfred Kastler","Anatole Abragam"
"1962","Physics","Alfred Kastler","Willis Eugene Lamb, Jr"
"1962","Physics","André Lallemand","Prince Louis-Victor de Broglie"
"1962","Physics","André Lallemand","Etienne Wolff"
"1962","Physics","Lev Davidovich Landau","Werner Karl Heisenberg"
"1962","Physics","Lev Davidovich Landau","J Pellam"
"1962","Physics","Bogdan Maglich [Maglić]","S Sljivic"
"1962","Physics","Erwin Wilhelm Müller","A Guinier"
"1962","Physics","Louis Néel","André Lallemand"
"1962","Physics","Louis Néel","John Hasbrouck Van Vleck"
"1962","Physics","Wolfgang Kurt Hermann Panofsky","Jesse DuMond"
"1962","Physics","Bruno Benedetto Rossi","A Pignedoli"
"1962","Physics","Bruno Benedetto Rossi","P Bassi"
"1962","Physics","Bruno Benedetto Rossi","B Feretti"
"1962","Physics","Bruno Benedetto Rossi","G Puppi"
"1962","Physics","Bruno Benedetto Rossi","D Graffi"
"1962","Physics","Reinhold Rüdenberg","Percy Bridgman"
"1962","Physics","Charles Hard Townes","Felix Hans Boehm"
"1962","Physics","Charles Hard Townes","Alfred Kastler"
"1962","Physics","Charles Hard Townes","M Kelly"
"1962","Physics","Charles Hard Townes","Emilio Gino Segrè"
"1962","Physics","Charles Hard Townes","W Smythe"
"1962","Physics","Charles Hard Townes","Jack Steinberger"
"1962","Physics","Charles Hard Townes","Hendrik de Waard"
"1962","Physics","Charles Hard Townes","Sir Gordon Brims Black Sutherland"
"1962","Physics","James Van Allen","Harold Clayton Urey"
"1962","Physics","James Van Allen","E Vassy"
"1962","Physics","James Van Allen","P Tuomikoski"
"1962","Physics","Eugene Wigner","Pekka Jauho"
"1962","Physics","Eugene Wigner","H Tolhoek"
"1962","Physics","Eugene Wigner","N Hugenholtz"
"1962","Physics","Eugene Wigner","H Groenewold"
"1962","Physics","Yevgeny Konstantinovich Zavoisky","Cornelis Jacobus Gorter"
"1962","Physics","Yevgeny Konstantinovich Zavoisky","Leopold Ruzicka"
"1962","Physics","Clyde Lorrain Cowan, Jr
 Frederick Reines","Einar Lindholm"
"1962","Physics","Robert Doll
 Martin Näbauer","Walther Meissner"
"1962","Physics","Maria Goeppert-Mayer
 Johannes Hans Daniel Jensen","James Franck"
"1962","Physics","Maria Goeppert-Mayer
 Johannes Hans Daniel Jensen","M Kohler"
"1962","Physics","Maria Goeppert-Mayer
 Johannes Hans Daniel Jensen","Willard Frank Libby"
"1962","Physics","Maria Goeppert-Mayer
 Johannes Hans Daniel Jensen","Heinz Maier-Leibnitz"
"1962","Physics","Maria Goeppert-Mayer
 Johannes Hans Daniel Jensen","Lamek Hulthén"
"1962","Physics","Maria Goeppert-Mayer
 Johannes Hans Daniel Jensen","Torsten Gustafson"
"1962","Physics","George Dixon Rochester
 Clifford Butler","Patrick Maynard Stuart Blackett (Baron Blackett)"
"1962","Physics","George Dixon Rochester
 Clifford Butler","John Douglas Cockcroft"
"1962","Physics","George Dixon Rochester
 Clifford Butler","Sir George Paget Thomson"
"1962","Physics","Jabez Curry Street
 Bruno Benedetto Rossi","Kenneth Tompkins Bainbridge"
"1962","Physics","Richard Phillips Feynman
 Julian Schwinger","Hans Albrecht Bethe"
"1962","Physics","Richard Phillips Feynman
 Charles Hard Townes","H Neher"
"1962","Physics","Alfred Kastler
 Charles Hard Townes","R Freymann"
"1962","Physics","Alfred Kastler
 Charles Hard Townes","Pierre Jacquinot"
"1962","Physics","Alfred Kastler
 Charles Hard Townes","André Maréchal"
"1962","Physics","Francis Bitter
 Alfred Kastler
 Charles Hard Townes","Frederick Seitz"
"1962","Physics","Satyendra Nath Bose
 Sin-Itiro Tomonaga
 Subramanyan Chandrasekhar","A Dutta"
"1962","Physics","Joseph Weber
 Charles Hard Townes
 Theodore Maiman
 Nicolaas Bloembergen
 Ali Javan
 Nicolay Gennadijevitj Basov
 Aleksandr Mikhailovich Prokhorov [Prockorov]","Erik Paul Gerhard Ingelstam"
"1963","Physics","Luis Walter Alvarez","Willard Frank Libby"
"1963","Physics","Luis Walter Alvarez","Glenn Theodore Seaborg"
"1963","Physics","Sydney Chapman","Karl Emeleus"
"1963","Physics","Klaus Clusius","Otto Hahn"
"1963","Physics","Max Delbrück","James Franck"
"1963","Physics","Bengt Edlén","A Crooker"
"1963","Physics","William Martin Fairbank","P Sturrock"
"1963","Physics","Richard Phillips Feynman","Marcello Conversi"
"1963","Physics","Walter Friedrich","F Kirschner"
"1963","Physics","Otto Robert Frisch","Joseph Rotblat"
"1963","Physics","Walter Heinrich Heitler","Max Born"
"1963","Physics","Walter Heinrich Heitler","Harald Wergeland"
"1963","Physics","Johannes Hans Daniel Jensen","Karl Johann Freudenberg"
"1963","Physics","Ernst Pascual Jordan","R Liljeblad"
"1963","Physics","Alfred Kastler","P Agrain"
"1963","Physics","Alfred Kastler","L Gauthier"
"1963","Physics","Lev Davidovich Landau","Léon Rosenfeld"
"1963","Physics","Lev Davidovich Landau","Ben Roy Mottelson"
"1963","Physics","Lev Davidovich Landau","Christian Møller"
"1963","Physics","Lev Davidovich Landau","Niels Bohr"
"1963","Physics","Lev Davidovich Landau","Aage Niels Bohr"
"1963","Physics","Leon Max Lederman","S Gorodetzky"
"1963","Physics","Erwin Wilhelm Müller","K Bechert"
"1963","Physics","Erwin Wilhelm Müller","Ernst Schmidt"
"1963","Physics","Louis Néel","M Blackman"
"1963","Physics","Louis Néel","P Cüer"
"1963","Physics","Louis Néel","S Nikitine"
"1963","Physics","Louis Néel","R Faivre"
"1963","Physics","Louis Néel","Cornelis Jacobus Gorter"
"1963","Physics","Lars Onsager","S de Groot"
"1963","Physics","Lars Onsager","Fritz Eduard Josef Maria Sauter"
"1963","Physics","Lars Onsager","G Careri"
"1963","Physics","Julian Schwinger","Walter Thirring"
"1963","Physics","Sir Geoffrey Ingram Taylor","James Chadwick"
"1963","Physics","Sir Geoffrey Ingram Taylor","John Douglas Cockcroft"
"1963","Physics","Charles Hard Townes","Walter Hill"
"1963","Physics","Charles Hard Townes","M Kelly"
"1963","Physics","Charles Hard Townes","Emilio Gino Segrè"
"1963","Physics","Charles Hard Townes","Sir Gordon Brims Black Sutherland"
"1963","Physics","Charles Hard Townes","J Warren"
"1963","Physics","Charles Hard Townes","Arthur Leonard Schawlow"
"1963","Physics","Charles Hard Townes","Donald Glaser"
"1963","Physics","Charles Hard Townes","P Tuomikoski"
"1963","Physics","Eugene Wigner","Léon Charles Prudent van Hove"
"1963","Physics","Eugene Wigner","Pekka Jauho"
"1963","Physics","Eugene Wigner","F Kaempffer"
"1963","Physics","Eugene Wigner","T Takabayasi"
"1963","Physics","Eugene Wigner","Victor Frederick Weisskopf"
"1963","Physics","Yevgeny Konstantinovich Zavoisky","Leopold Ruzicka"
"1963","Physics","Anatole Abragam
 Albert Overhauser","Francis Perrin"
"1963","Physics","Hannes Alfvén
 Bruno Benedetto Rossi","S Hayakawa"
"1963","Physics","William Martin Fairbank
 Robert Doll","W Gordy"
"1963","Physics","Sin-Itiro Tomonaga
 Julian Schwinger
 Richard Phillips Feynman","S Drell"
"1963","Physics","Richard Phillips Feynman
 Charles Hard Townes","Carl Anderson"
"1963","Physics","Charles Hard Townes
 Arthur Leonard Schawlow","William Martin Fairbank"
"1963","Physics","Charles Hard Townes
 Arthur Leonard Schawlow","E Grüenbaum"
"1963","Physics","Alfred Kastler
 Charles Hard Townes","Ph. Pluvinage"
"1963","Physics","Alfred Kastler
 Charles Hard Townes","H Benoit"
"1963","Physics","Alfred Kastler
 Charles Hard Townes","Wolfgang Paul"
"1963","Physics","Charles Hard Townes
 James Gordon","Gilberto Bernardini"
"1963","Physics","Giuseppe Paolo Stanislao Occhialini
 Bruno Benedetto Rossi
 Charles Hard Townes","F Houtermans"
"1963","Physics","Joseph Weber
 Charles Hard Townes
 Nicolaas Bloembergen
 Ali Javan
 Nicolay Gennadijevitj Basov
 Aleksandr Mikhailovich Prokhorov [Prockorov]","Erik Paul Gerhard Ingelstam"
"1963","Physics","Maria Goeppert-Mayer
 Johannes Hans Daniel Jensen","Amos de-Shalit"
"1963","Physics","Maria Goeppert-Mayer
 Johannes Hans Daniel Jensen","Torsten Gustafson"
"1963","Physics","Sir Martin Ryle
 Alfred Charles Bernard Lovell ","Sir William Lawrence Bragg"
"1963","Physics","Herbert Fröhlich
 John Bardeen
 Nikolai Nikolaevic Bogoljubov","W Macke"
"1963","Physics","Clifford Butler
 Giuseppe Paolo Stanislao Occhialini
 George Dixon Rochester","Eric Henry Stoneley Burhop"
"1963","Physics","Clifford Butler
 Giuseppe Paolo Stanislao Occhialini
 George Dixon Rochester","John Douglas Cockcroft"
"1963","Physics","Clifford Butler
 Giuseppe Paolo Stanislao Occhialini
 George Dixon Rochester","Patrick Maynard Stuart Blackett (Baron Blackett)"
"1963","Physics","Clifford Butler
 Giuseppe Paolo Stanislao Occhialini
 George Dixon Rochester","Cecil Frank Powell"
"1963","Physics","Marcello Conversi
 Ettore Pancini
 Oreste Piccioni","Enrico Persico"
"1963","Physics","Marcello Conversi
 Ettore Pancini
 Oreste Piccioni","G Salvini"
"1963","Physics","Marcello Conversi
 Ettore Pancini
 Oreste Piccioni","Edoardo Amaldi"
"1963","Physics","Marcello Conversi
 Ettore Pancini
 Oreste Piccioni","C Cattaneo"
"1963","Physics","Marcello Conversi
 Adriano Gozzini","Väinö Hovi"
"1963","Physics","Clyde Lorrain Cowan, Jr
 Frederick Reines
 Hannes Alfvén","Einar Lindholm"
"1963","Physics","Melvin Schwartz
 Leon Max Lederman
 Jack Steinberger","Isidor Rabi"
"1963","Physics","Melvin Schwartz
 Leon Max Lederman
 Jack Steinberger","Polykarp Kusch"
"1964","Physics","Hannes Alfvén","Eugene Newman Parker "
"1964","Physics","Hannes Alfvén","Subramanyan Chandrasekhar"
"1964","Physics","Hannes Alfvén"," Koefoed-Hansen"
"1964","Physics","Hannes Alfvén","Léon Rosenfeld"
"1964","Physics","Hannes Alfvén","Lamek Hulthén"
"1964","Physics","Luis Walter Alvarez","Glenn Theodore Seaborg"
"1964","Physics","Hans Albrecht Bethe","Gregory Breit"
"1964","Physics","Bengt Edlén","P Swings"
"1964","Physics","Richard Phillips Feynman","Gregor Wentzel"
"1964","Physics","Richard Phillips Feynman","Th. Fields"
"1964","Physics","Richard Phillips Feynman","Rudolf Ernst Peierls"
"1964","Physics","Richard Phillips Feynman","Nicholas Constantine Metropolis"
"1964","Physics","Scott Ellsworth Forbush","J Simpson"
"1964","Physics","Herbert Fröhlich","Werner Buckel"
"1964","Physics","Cornelis Jacobus Gorter","J Volger"
"1964","Physics","Walter Heinrich Heitler","Egil Hylleraas"
"1964","Physics","Walter Heinrich Heitler","Harald Wergeland"
"1964","Physics","Hendrik Christoffel van de Hulst","Anna Underhill"
"1964","Physics","Alfred Kastler","R Servant"
"1964","Physics","Alfred Kastler","F Roger"
"1964","Physics","Alfred Kastler","R Chastel"
"1964","Physics","Lise Meitner","Max Born"
"1964","Physics","Philip Burton Moon","Rudolf Ludwig Mössbauer"
"1964","Physics","Louis Néel","Prince Louis-Victor de Broglie"
"1964","Physics","Louis Néel","E Perucca"
"1964","Physics","Louis Néel","Cornelis Jacobus Gorter"
"1964","Physics","Giuseppe Paolo Stanislao Occhialini","Giovanni Zin"
"1964","Physics","Lars Onsager","C Codegone"
"1964","Physics","Melvin Schwartz","Richard Henry Dalitz"
"1964","Physics","Julian Schwinger","A Houriet"
"1964","Physics","Charles Hard Townes","H Ehrenberg"
"1964","Physics","Charles Hard Townes","J Duchesne"
"1964","Physics","Charles Hard Townes","G Lovera"
"1964","Physics","Charles Hard Townes","Brebis Bleaney"
"1964","Physics","Charles Hard Townes","Reginald Victor Jones"
"1964","Physics","Charles Hard Townes","Sir Gordon Brims Black Sutherland"
"1964","Physics","Charles Hard Townes","Amos de-Shalit"
"1964","Physics","Charles Hard Townes","G Falk "
"1964","Physics","Charles Hard Townes","Herbert Lawrence Anderson"
"1964","Physics","Charles Hard Townes","Vernon Willard Hughes"
"1964","Physics","Charles Hard Townes","Ch Schlier"
"1964","Physics","Charles Hard Townes","O Osbergshaus"
"1964","Physics","Robert Jemison Van de Graaff","David Allan Bromley"
"1964","Physics","Chien-Shiung Wu","Herwig Schopper"
"1964","Physics","Yevgeny Konstantinovich Zavoisky","Lev Andreyevich Artsimovich"
"1964","Physics","Yevgeny Konstantinovich Zavoisky","Leopold Ruzicka"
"1964","Physics","Edoardo Amaldi
 Vladimir Iosifovich Veksler","V Petrzilka"
"1964","Physics","Hans Albrecht Bethe
 Carl Friedrich von Weizsäcker","Werner Karl Heisenberg"
"1964","Physics","Hans Albrecht Bethe
 Richard Phillips Feynman
 Leopold Infeld","Helmut Hönl"
"1964","Physics","Richard Phillips Feynman
 Freeman John Dyson","Tullio Regge"
"1964","Physics","Richard Phillips Feynman
 Julian Schwinger","Gunnar Källén"
"1964","Physics","Richard Phillips Feynman
 Julian Schwinger","Léon Charles Prudent van Hove"
"1964","Physics","Richard Phillips Feynman
 Julian Schwinger","B Stech"
"1964","Physics","Richard Phillips Feynman
 Sin-Itiro Tomonaga
 Julian Schwinger","W Wessel"
"1964","Physics","Richard Phillips Feynman
 Sin-Itiro Tomonaga
 Julian Schwinger","Hans-Arwed Weidenmüller"
"1964","Physics","Murray Gell-Mann
 Kazuhiko Nishijima ","G Höhler"
"1964","Physics","Harold Jeffreys
 Keith Edward Bullen","A Zatopek"
"1964","Physics","Alfred Charles Bernard Lovell 
 Sir Martin Ryle","Sir William Lawrence Bragg"
"1964","Physics","Lars Onsager
 Ilya Romanovich Prigogine","E M F van der Held"
"1964","Physics","H Schüler
 Th Schmidt","W Kofink"
"1964","Physics","Aleksandr Mikhailovich Prokhorov [Prockorov]
 Charles Hard Townes","Pekka Jauho"
"1964","Physics","Aleksandr Mikhailovich Prokhorov [Prockorov]
 Charles Hard Townes","Vladimir Aleksandrovich Fok"
